# Proj2026 Q3 benchmark  Feller: 20*kappa*theta > sigma^2
# Exact (BK) dt=0.001 n_steps=1000 | Euler dt=0.001 n=1000 | almost fine dt=0.001 n=1000 | almost coarse dt=0.0333333 n=30
# paths=262144 rho=-0.7  err_* = mean_* - mean_exact (MC reference)
id,kappa,theta,sigma,feller_gap,ms_exact,ms_euler,ms_almost_dt1000,ms_almost_dt1_30,mean_exact,mean_euler,mean_almost_1000,mean_almost_30,err_euler,err_almost_1000,err_almost_30
0,0.1,0.01,0.1,0.01,136.316,3.99373,141.177,17.621,0.12179691,0.12114166,0.12177819,0.12321498,-0.00065524876,-1.8715858e-05,0.0014180765
1,0.1,0.08,0.1,0.15,136.215,3.92957,140.732,17.7315,0.12299762,0.12353898,0.12282057,0.12449,0.00054135919,-0.00017704815,0.0014923811
2,0.1,0.08,0.228571,0.107755,675.521,3.59411,670.349,15.404,0.11577217,0.12058103,0.11392187,0.12077931,0.0048088655,-0.0018502921,0.0050071478
3,0.1,0.08,0.357143,0.032449,615.375,3.67539,618.615,11.1152,0.11548865,0.11600444,0.11224651,0.11546291,0.00051579624,-0.0032421425,-2.5741756e-05
4,0.1,0.15,0.1,0.29,136.923,3.99315,140.659,17.763,0.12651396,0.12574898,0.12498945,0.12611157,-0.00076498091,-0.001524508,-0.00040239096
5,0.1,0.15,0.228571,0.247755,671.114,3.62086,671.636,15.49,0.11867982,0.12238327,0.11768892,0.12106725,0.0037034526,-0.00099089742,0.0023874268
6,0.1,0.15,0.357143,0.172449,618.614,3.65434,624.318,11.1932,0.11680181,0.11786504,0.11471135,0.1180853,0.0010632351,-0.0020904541,0.0012834966
7,0.1,0.15,0.485714,0.0640817,549.87,3.77251,557.015,10.879,0.11191591,0.11191454,0.10991585,0.1110247,-1.3709068e-06,-0.0020000562,-0.00089120865
8,0.1,0.22,0.1,0.43,138.318,4.08755,142.627,18.021,0.12718305,0.1281862,0.12774736,0.13072599,0.0010031462,0.00056430697,0.0035429448
9,0.1,0.22,0.228571,0.387755,664.525,3.60858,662.712,15.573,0.11634443,0.12418817,0.11885117,0.12519211,0.0078437403,0.0025067404,0.0088476762
10,0.1,0.22,0.357143,0.312449,623.977,3.61165,625.056,11.3971,0.11909741,0.11958569,0.11690741,0.12007464,0.00048828125,-0.0021900013,0.0009772256
11,0.1,0.22,0.485714,0.204082,557.529,3.7032,560.081,10.5226,0.11142188,0.11472088,0.11268644,0.11405781,0.0032990053,0.0012645647,0.0026359335
12,0.1,0.22,0.614286,0.062653,525.955,3.88096,532.042,12.1374,0.10757543,0.10880384,0.107869,0.10700111,0.001228407,0.00029356778,-0.00057432055
13,0.1,0.29,0.1,0.57,139.061,3.99939,143.106,18.0511,0.12941609,0.13028421,0.13100649,0.12882128,0.00086811185,0.0015904009,-0.00059480965
14,0.1,0.29,0.228571,0.527755,663.352,3.59219,661.852,15.5994,0.12425998,0.12742528,0.12018847,0.12480181,0.0031653047,-0.0040715113,0.00054182857
15,0.1,0.29,0.357143,0.452449,630.912,3.60266,634.833,11.5305,0.11573866,0.12197527,0.11880051,0.12182517,0.0062366053,0.0030618459,0.0060865059
16,0.1,0.29,0.485714,0.344082,563.443,4.93939,559.343,10.41,0.11305808,0.11644196,0.11354031,0.11573698,0.0033838823,0.00048223138,0.002678901
17,0.1,0.29,0.614286,0.202653,534.54,3.8672,537.506,12.1019,0.10760617,0.1105962,0.10865499,0.10956726,0.0029900298,0.0010488182,0.0019610897
18,0.1,0.29,0.742857,0.0281633,512.775,3.95626,517.802,12.707,0.10347266,0.10567335,0.10245477,0.10338961,0.0022006854,-0.0010178983,-8.3051622e-05
19,0.1,0.36,0.1,0.71,140.902,4.04861,143.828,18.0163,0.13162796,0.13175504,0.13173273,0.13005807,0.0001270771,0.00010477006,-0.0015698969
20,0.1,0.36,0.228571,0.667755,655.057,3.59834,655.694,15.6868,0.12241431,0.12847555,0.12196068,0.12753354,0.006061241,-0.0004536286,0.0051192343
21,0.1,0.36,0.357143,0.592449,634.323,3.62611,639.9,11.6428,0.12122791,0.12476386,0.11934171,0.12383468,0.0035359561,-0.0018861964,0.0026067719
22,0.1,0.36,0.485714,0.484082,561.424,3.67002,568.922,9.70912,0.11965944,0.1196485,0.11751238,0.11794725,-1.0937452e-05,-0.0021470562,-0.0017121881
23,0.1,0.36,0.614286,0.342653,537.431,3.82362,546.198,12.1272,0.11293554,0.11322767,0.11072229,0.11239901,0.00029212236,-0.0022132546,-0.00053653121
24,0.1,0.36,0.742857,0.168163,524.347,3.91587,528.546,12.6067,0.10480167,0.10801415,0.10463919,0.10590686,0.0032124817,-0.00016248226,0.0011051893
25,0.1,0.43,0.1,0.85,141.756,4.10637,145.957,18.59,0.13382861,0.1345571,0.13297325,0.13517722,0.00072848797,-0.00085535645,0.0013486147
26,0.1,0.43,0.228571,0.807755,653.128,3.60064,645.639,15.7563,0.12676184,0.12999338,0.12538703,0.13033836,0.0032315403,-0.0013748109,0.0035765171
27,0.1,0.43,0.357143,0.732449,640.125,3.61898,641.012,11.7666,0.11942047,0.12670183,0.12127122,0.12587655,0.007281363,0.001850754,0.0064560771
28,0.1,0.43,0.485714,0.624082,567.074,3.65158,575.23,9.02122,0.12122747,0.1211128,0.1202758,0.12031376,-0.00011467189,-0.00095167756,-0.0009137094
29,0.1,0.43,0.614286,0.482653,547.685,3.79357,552.436,12.0193,0.1126915,0.11516155,0.11259042,0.11474323,0.0024700463,-0.00010108203,0.0020517334
30,0.1,0.43,0.742857,0.308163,529.525,3.94445,534.847,12.7403,0.10842878,0.11025751,0.10924184,0.10809164,0.0018287227,0.00081305951,-0.00033713877
31,0.1,0.43,0.871429,0.100612,512.873,4.00534,522.768,13.106,0.10214302,0.10572284,0.10068386,0.10186832,0.0035798252,-0.001459159,-0.00027470291
32,0.1,0.5,0.1,0.99,144.178,4.18816,147.7,18.4496,0.13578925,0.13561326,0.13559909,0.13763061,-0.00017598271,-0.00019015372,0.0018413663
33,0.1,0.5,0.228571,0.947755,645.584,3.61267,647.318,15.8268,0.12649375,0.1318721,0.12697427,0.13190289,0.0053783506,0.00048051775,0.0054091364
34,0.1,0.5,0.357143,0.872449,641.144,3.60339,645.75,11.9131,0.12234454,0.12798773,0.12308279,0.12815,0.005643189,0.00073825568,0.0058054626
35,0.1,0.5,0.485714,0.764082,571.318,3.64592,577.259,8.09917,0.12356686,0.12375139,0.12121831,0.12250353,0.00018453598,-0.0023485497,-0.001063332
36,0.1,0.5,0.614286,0.622653,551.057,3.77446,560.495,11.9153,0.11739667,0.11730364,0.11600814,0.11678164,-9.3027949e-05,-0.0013885275,-0.00061502308
37,0.1,0.5,0.742857,0.448163,539.489,3.93667,548.006,12.6075,0.10898241,0.11233208,0.10814877,0.11076111,0.0033496618,-0.00083364546,0.0017786995
38,0.1,0.5,0.871429,0.240612,522.367,4.03046,532.223,13.0064,0.10288789,0.10805795,0.1055091,0.10455061,0.0051700622,0.0026212111,0.0016627163
39,1.51429,0.01,0.1,0.292857,250.439,3.71091,253.018,16.4994,0.093603827,0.093410164,0.09262386,0.087097526,-0.00019366294,-0.00097996742,-0.0065063015
40,1.51429,0.01,0.228571,0.250612,661.883,3.92426,656.738,13.1645,0.085258499,0.090954676,0.087570034,0.087979928,0.0056961775,0.0023115352,0.0027214289
41,1.51429,0.01,0.357143,0.175306,538.196,3.76086,543.504,9.04403,0.08486136,0.088343099,0.087205611,0.08574529,0.0034817383,0.0023442507,0.00088392943
42,1.51429,0.01,0.485714,0.0669388,530.082,3.88682,534.864,11.4414,0.082189888,0.084986143,0.083045751,0.082078822,0.0027962551,0.00085586309,-0.0001110658
43,1.51429,0.08,0.1,2.41286,147.656,4.30483,151.973,18.903,0.11825288,0.11902448,0.11837556,0.1162651,0.00077159703,0.00012268126,-0.0019877851
44,1.51429,0.08,0.228571,2.37061,693.33,3.59443,691.478,15.552,0.10946378,0.11686569,0.10973315,0.11630111,0.0074019134,0.00026936829,0.0068373308
45,1.51429,0.08,0.357143,2.29531,564.151,3.59702,569.475,9.60979,0.10783383,0.11356769,0.11082465,0.11221059,0.0057338625,0.002990827,0.0043767616
46,1.51429,0.08,0.485714,2.18694,536.13,3.60307,537.909,4.59725,0.10934048,0.11160589,0.10907263,0.11001846,0.0022654086,-0.00026785582,0.00067798048
47,1.51429,0.08,0.614286,2.04551,530.344,3.69219,536.231,10.9693,0.10734033,0.10769937,0.10671624,0.10655525,0.00035904348,-0.00062409043,-0.00078508258
48,1.51429,0.08,0.742857,1.87102,535.865,3.78771,540.58,12.327,0.10305334,0.10401481,0.10397153,0.10275836,0.00096146762,0.00091819465,-0.00029498339
49,1.51429,0.08,0.871429,1.66347,533,3.94381,541.681,12.8598,0.099701047,0.10129408,0.10027069,0.09946537,0.001593031,0.00056964159,-0.00023567677
50,1.51429,0.08,1,1.42286,523.598,4.12381,531.81,13.151,0.096673682,0.099432856,0.095954239,0.095965847,0.0027591735,-0.00071944296,-0.00070783496
51,1.51429,0.15,0.1,4.53286,150.575,4.42778,153.716,19.0423,0.13900489,0.13917887,0.13962959,0.14142977,0.00017398596,0.00062470138,0.0024248809
52,1.51429,0.15,0.228571,4.49061,616.042,3.60333,616.2,15.9588,0.13477162,0.13745581,0.13189369,0.13646165,0.0026841909,-0.0028779209,0.0016900301
53,1.51429,0.15,0.357143,4.41531,617.527,3.60275,623.411,11.9114,0.12361467,0.13525307,0.12921681,0.13492112,0.011638403,0.0056021363,0.01130645
54,1.51429,0.15,0.485714,4.30694,550.467,3.59981,550.878,6.68467,0.12741686,0.1328914,0.12973423,0.13202335,0.0054745376,0.002317369,0.0046064854
55,1.51429,0.15,0.614286,4.16551,539.358,3.63155,537.014,3.89626,0.12652344,0.1292661,0.12551282,0.12859866,0.002742663,-0.0010106117,0.0020752251
